bug_id,feature,severity,status,date_reported,date_resolved,platform,region,assigned_team,bug_type,milestone,priority_level
1,UI,Low,Resolved,2024-12-08,2024-12-09,PC,Oceania,UI/UX,Expansion Pack,M1,Low
2,Occults,Low,Resolved,2024-04-27,2024-05-14,Xbox,Europe,Graphics,Audio,M7,High
3,Careers,Low,Resolved,2024-07-27,2024-08-02,Mac,Asia,UI/UX,Gameplay,M4,Low
4,Create-a-Sim,High,Investigating,2024-07-08,,PC,South America,UI/UX,Audio,M7,Medium
5,Graphics,High,New,2025-01-12,,PC,Oceania,Build Mode,Audio,M1,High
6,Aging System,Medium,New,2024-12-21,,PlayStation,Europe,Expansion Pack,Network,M2,Medium
7,Tutorial,Medium,Resolved,2025-03-10,2025-04-01,Mac,Europe,Graphics,Expansion Pack,M3,High
8,Careers,High,Resolved,2024-05-19,2024-06-06,PC,Europe,LiveOps,Network,M4,Low
9,Careers,Low,Resolved,2024-09-19,2024-10-08,Xbox,South America,Graphics,Performance,M3,Low
10,Bug Fixes,Medium,Resolved,2024-04-28,2024-05-16,Xbox,Asia,Build Mode,Performance,M5,Medium
11,Multiplayer,High,Resolved,2024-07-07,2024-08-04,Xbox,Africa,UI/UX,Expansion Pack,M4,Medium
12,Build Mode,Medium,Won't Fix,2024-10-19,2024-10-28,PC,Oceania,CAS,Network,M1,Low
13,Audio,Critical,Won't Fix,2024-04-27,2024-04-28,Mac,Africa,UI/UX,Audio,M7,Medium
14,Multiplayer,Medium,Resolved,2024-06-29,2024-07-04,PC,Africa,Expansion Pack,Mods & Custom Content,M1,Low
15,UI,Low,Resolved,2024-12-11,2025-01-07,PC,North America,Graphics,Gameplay,M7,Medium
16,Occults,Low,Resolved,2024-11-03,2024-11-25,Xbox,Europe,Build Mode,Audio,M4,High
17,Aging System,Low,Resolved,2024-07-07,2024-07-22,Mac,North America,Expansion Pack,Graphics,M5,Medium
18,Create-a-Sim,Low,Resolved,2024-11-19,2024-11-20,PC,Asia,UI/UX,UI,M3,Medium
19,Bug Fixes,Medium,Resolved,2025-02-08,2025-02-13,Mac,South America,Platform,UI,M1,Low
20,Create-a-Sim,Medium,Resolved,2024-04-20,2024-05-04,PC,North America,Platform,Network,M7,High
21,Mods & Custom Content,Medium,Resolved,2025-02-06,2025-02-13,PlayStation,South America,Build Mode,Gameplay,M4,High
22,Occults,High,New,2024-12-29,,PC,Europe,Audio,Expansion Pack,M4,Medium
23,Multiplayer,Low,In Progress,2024-08-20,,Xbox,Asia,Graphics,Audio,M4,Medium
24,Pets,Low,Resolved,2024-06-13,2024-07-09,PlayStation,Europe,LiveOps,Graphics,M6,Medium
25,Seasons,Low,Resolved,2025-04-03,2025-04-19,PC,Europe,UI/UX,Gameplay,M6,High
26,Bug Fixes,Medium,Resolved,2024-08-19,2024-09-17,PC,South America,Expansion Pack,Audio,M2,Medium
27,World Map,Medium,Resolved,2024-05-21,2024-05-30,PC,North America,Graphics,Gameplay,M1,Medium
28,Live Mode,High,Won't Fix,2024-05-23,2024-05-28,PlayStation,Asia,Audio,Mods & Custom Content,M7,Medium
29,Build Mode,Medium,Resolved,2025-02-22,2025-03-20,PlayStation,Oceania,UI/UX,Performance,M3,Low
30,World Map,Medium,Resolved,2024-11-24,2024-12-12,PlayStation,Europe,CAS,Mods & Custom Content,M3,High
31,Social Interactions,High,New,2025-02-07,,PC,North America,Expansion Pack,Performance,M6,High
32,Social Interactions,Medium,Resolved,2025-01-10,2025-01-25,PC,North America,Audio,Graphics,M7,Medium
33,World Map,Low,Resolved,2024-10-31,2024-11-14,PC,Asia,Build Mode,UI,M6,Low
34,Tutorial,High,Resolved,2025-04-09,2025-05-08,Mac,Europe,Audio,Expansion Pack,M1,Low
35,Social Interactions,High,In Progress,2024-09-03,,Mac,Asia,Audio,Gameplay,M4,High
36,Aging System,Low,New,2024-11-06,,Mac,Europe,LiveOps,UI,M4,Medium
37,Audio,Low,In Progress,2025-02-15,,Xbox,Oceania,Expansion Pack,Graphics,M1,High
38,Audio,Low,Won't Fix,2024-11-30,2024-12-19,Xbox,Asia,Expansion Pack,Expansion Pack,M5,High
39,Audio,Low,Resolved,2025-02-27,2025-03-28,Xbox,North America,Build Mode,Network,M4,Low
40,Expansion Pack,High,Resolved,2024-11-15,2024-11-26,PlayStation,Africa,CAS,Expansion Pack,M3,Medium
41,Aspirations,Medium,Resolved,2024-12-31,2025-01-05,Mac,Africa,CAS,Expansion Pack,M5,High
42,Bug Fixes,Medium,Resolved,2024-05-04,2024-05-11,PlayStation,South America,Graphics,Mods & Custom Content,M6,Low
43,Multiplayer,Medium,Won't Fix,2024-07-10,2024-08-08,PlayStation,Africa,Expansion Pack,Gameplay,M7,High
44,Graphics,Low,Resolved,2024-08-01,2024-08-11,PC,Europe,Graphics,Gameplay,M4,Medium
45,Aspirations,Medium,Resolved,2024-05-17,2024-05-24,Mac,Europe,LiveOps,Gameplay,M7,Medium
46,Create-a-Sim,Medium,Resolved,2024-07-12,2024-08-04,PC,South America,Audio,Mods & Custom Content,M6,Medium
47,Aging System,Medium,Won't Fix,2024-05-24,2024-06-04,Xbox,Africa,Graphics,Performance,M6,High
48,Audio,High,Resolved,2024-07-28,2024-08-22,Xbox,Oceania,Build Mode,Audio,M4,Low
49,Occults,Low,Resolved,2024-12-06,2024-12-15,Mac,Europe,Platform,Performance,M6,Low
50,Social Interactions,Low,Resolved,2024-08-29,2024-09-09,Xbox,South America,LiveOps,Expansion Pack,M4,Low
