bug_id,feature,severity,status,date_reported,date_resolved,platform,region,assigned_team,bug_type,milestone,priority_level,days_to_resolve
1,UI,Low,Resolved,2024-12-08,2024-12-09,Pc,Oceania,UI/UX,Expansion Pack,M1,Low,1.0
2,Occults,Low,Resolved,2024-04-27,2024-05-14,Xbox,Europe,Graphics,Audio,M7,High,17.0
3,Careers,Low,Resolved,2024-07-27,2024-08-02,Mac,Asia,UI/UX,Gameplay,M4,Low,6.0
4,Create-a-Sim,High,Investigating,2024-07-08,,Pc,South America,UI/UX,Audio,M7,Medium,
5,Graphics,High,New,2025-01-12,,Pc,Oceania,Build Mode,Audio,M1,High,
6,Aging System,Medium,New,2024-12-21,,Playstation,Europe,Expansion Pack,Network,M2,Medium,
7,Tutorial,Medium,Resolved,2025-03-10,2025-04-01,Mac,Europe,Graphics,Expansion Pack,M3,High,22.0
8,Careers,High,Resolved,2024-05-19,2024-06-06,Pc,Europe,LiveOps,Network,M4,Low,18.0
9,Careers,Low,Resolved,2024-09-19,2024-10-08,Xbox,South America,Graphics,Performance,M3,Low,19.0
10,Bug Fixes,Medium,Resolved,2024-04-28,2024-05-16,Xbox,Asia,Build Mode,Performance,M5,Medium,18.0
11,Multiplayer,High,Resolved,2024-07-07,2024-08-04,Xbox,Africa,UI/UX,Expansion Pack,M4,Medium,28.0
12,Build Mode,Medium,Won't Fix,2024-10-19,2024-10-28,Pc,Oceania,CAS,Network,M1,Low,9.0
13,Audio,Critical,Won't Fix,2024-04-27,2024-04-28,Mac,Africa,UI/UX,Audio,M7,Medium,1.0
14,Multiplayer,Medium,Resolved,2024-06-29,2024-07-04,Pc,Africa,Expansion Pack,Mods & Custom Content,M1,Low,5.0
15,UI,Low,Resolved,2024-12-11,2025-01-07,Pc,North America,Graphics,Gameplay,M7,Medium,27.0
16,Occults,Low,Resolved,2024-11-03,2024-11-25,Xbox,Europe,Build Mode,Audio,M4,High,22.0
17,Aging System,Low,Resolved,2024-07-07,2024-07-22,Mac,North America,Expansion Pack,Graphics,M5,Medium,15.0
18,Create-a-Sim,Low,Resolved,2024-11-19,2024-11-20,Pc,Asia,UI/UX,UI,M3,Medium,1.0
19,Bug Fixes,Medium,Resolved,2025-02-08,2025-02-13,Mac,South America,Platform,UI,M1,Low,5.0
20,Create-a-Sim,Medium,Resolved,2024-04-20,2024-05-04,Pc,North America,Platform,Network,M7,High,14.0
21,Mods & Custom Content,Medium,Resolved,2025-02-06,2025-02-13,Playstation,South America,Build Mode,Gameplay,M4,High,7.0
22,Occults,High,New,2024-12-29,,Pc,Europe,Audio,Expansion Pack,M4,Medium,
23,Multiplayer,Low,In Progress,2024-08-20,,Xbox,Asia,Graphics,Audio,M4,Medium,
24,Pets,Low,Resolved,2024-06-13,2024-07-09,Playstation,Europe,LiveOps,Graphics,M6,Medium,26.0
25,Seasons,Low,Resolved,2025-04-03,2025-04-19,Pc,Europe,UI/UX,Gameplay,M6,High,16.0
26,Bug Fixes,Medium,Resolved,2024-08-19,2024-09-17,Pc,South America,Expansion Pack,Audio,M2,Medium,29.0
27,World Map,Medium,Resolved,2024-05-21,2024-05-30,Pc,North America,Graphics,Gameplay,M1,Medium,9.0
28,Live Mode,High,Won't Fix,2024-05-23,2024-05-28,Playstation,Asia,Audio,Mods & Custom Content,M7,Medium,5.0
29,Build Mode,Medium,Resolved,2025-02-22,2025-03-20,Playstation,Oceania,UI/UX,Performance,M3,Low,26.0
30,World Map,Medium,Resolved,2024-11-24,2024-12-12,Playstation,Europe,CAS,Mods & Custom Content,M3,High,18.0
31,Social Interactions,High,New,2025-02-07,,Pc,North America,Expansion Pack,Performance,M6,High,
32,Social Interactions,Medium,Resolved,2025-01-10,2025-01-25,Pc,North America,Audio,Graphics,M7,Medium,15.0
33,World Map,Low,Resolved,2024-10-31,2024-11-14,Pc,Asia,Build Mode,UI,M6,Low,14.0
34,Tutorial,High,Resolved,2025-04-09,2025-05-08,Mac,Europe,Audio,Expansion Pack,M1,Low,29.0
35,Social Interactions,High,In Progress,2024-09-03,,Mac,Asia,Audio,Gameplay,M4,High,
36,Aging System,Low,New,2024-11-06,,Mac,Europe,LiveOps,UI,M4,Medium,
37,Audio,Low,In Progress,2025-02-15,,Xbox,Oceania,Expansion Pack,Graphics,M1,High,
38,Audio,Low,Won't Fix,2024-11-30,2024-12-19,Xbox,Asia,Expansion Pack,Expansion Pack,M5,High,19.0
39,Audio,Low,Resolved,2025-02-27,2025-03-28,Xbox,North America,Build Mode,Network,M4,Low,29.0
40,Expansion Pack,High,Resolved,2024-11-15,2024-11-26,Playstation,Africa,CAS,Expansion Pack,M3,Medium,11.0
41,Aspirations,Medium,Resolved,2024-12-31,2025-01-05,Mac,Africa,CAS,Expansion Pack,M5,High,5.0
42,Bug Fixes,Medium,Resolved,2024-05-04,2024-05-11,Playstation,South America,Graphics,Mods & Custom Content,M6,Low,7.0
43,Multiplayer,Medium,Won't Fix,2024-07-10,2024-08-08,Playstation,Africa,Expansion Pack,Gameplay,M7,High,29.0
44,Graphics,Low,Resolved,2024-08-01,2024-08-11,Pc,Europe,Graphics,Gameplay,M4,Medium,10.0
45,Aspirations,Medium,Resolved,2024-05-17,2024-05-24,Mac,Europe,LiveOps,Gameplay,M7,Medium,7.0
46,Create-a-Sim,Medium,Resolved,2024-07-12,2024-08-04,Pc,South America,Audio,Mods & Custom Content,M6,Medium,23.0
47,Aging System,Medium,Won't Fix,2024-05-24,2024-06-04,Xbox,Africa,Graphics,Performance,M6,High,11.0
48,Audio,High,Resolved,2024-07-28,2024-08-22,Xbox,Oceania,Build Mode,Audio,M4,Low,25.0
49,Occults,Low,Resolved,2024-12-06,2024-12-15,Mac,Europe,Platform,Performance,M6,Low,9.0
50,Social Interactions,Low,Resolved,2024-08-29,2024-09-09,Xbox,South America,LiveOps,Expansion Pack,M4,Low,11.0
51,Social Interactions,Medium,Resolved,2024-08-31,2024-09-25,Mac,South America,Build Mode,Audio,M4,Medium,25.0
52,Aspirations,High,Resolved,2024-07-03,2024-07-25,Xbox,Europe,LiveOps,Expansion Pack,M5,Medium,22.0
53,Aging System,Low,Resolved,2024-07-24,2024-08-14,Playstation,South America,Expansion Pack,UI,M4,Medium,21.0
54,Social Interactions,Low,Resolved,2025-03-26,2025-04-08,Pc,South America,LiveOps,Graphics,M3,Low,13.0
55,Build Mode,Critical,Resolved,2024-12-11,2025-01-01,Mac,North America,Audio,UI,M2,Medium,21.0
56,Audio,High,Resolved,2024-11-26,2024-12-03,Mac,Africa,UI/UX,Performance,M3,Low,7.0
57,Aspirations,Low,Resolved,2024-06-19,2024-06-29,Mac,North America,Build Mode,Gameplay,M6,Medium,10.0
58,Expansion Pack,High,Investigating,2025-01-09,,Pc,Asia,Platform,Network,M1,Medium,
59,Pets,Low,Resolved,2024-06-16,2024-07-14,Playstation,Oceania,Graphics,Performance,M4,Low,28.0
60,Occults,High,Resolved,2024-09-03,2024-09-24,Xbox,South America,CAS,Network,M7,Low,21.0
61,Aging System,Low,New,2025-04-15,,Xbox,Africa,Platform,Network,M1,Medium,
62,Audio,Low,Resolved,2024-12-08,2024-12-24,Playstation,Africa,LiveOps,UI,M1,Low,16.0
63,Pets,Medium,Resolved,2024-11-07,2024-11-25,Xbox,South America,LiveOps,Gameplay,M3,Low,18.0
64,Skills,Medium,Resolved,2024-12-24,2025-01-03,Playstation,South America,Expansion Pack,Network,M6,Medium,10.0
65,Graphics,Low,Resolved,2025-02-20,2025-02-28,Mac,Europe,Build Mode,Mods & Custom Content,M3,Medium,8.0
66,World Map,Critical,Investigating,2025-01-27,,Mac,Asia,Build Mode,Network,M2,Medium,
67,Create-a-Sim,Medium,Resolved,2024-07-10,2024-07-15,Mac,Oceania,Graphics,Gameplay,M7,Low,5.0
68,Multiplayer,Critical,Resolved,2024-04-29,2024-05-15,Playstation,South America,UI/UX,Gameplay,M4,Medium,16.0
69,Mods & Custom Content,High,Resolved,2024-08-11,2024-09-02,Playstation,North America,Build Mode,Gameplay,M5,Medium,22.0
70,Seasons,Low,Resolved,2024-07-24,2024-08-19,Xbox,Asia,Platform,Audio,M5,Medium,26.0
71,Graphics,Medium,Resolved,2024-07-04,2024-07-28,Playstation,Oceania,UI/UX,Performance,M2,Low,24.0
72,Tutorial,Medium,Resolved,2025-03-29,2025-03-30,Pc,Europe,CAS,Audio,M6,High,1.0
73,Bug Fixes,Medium,Won't Fix,2025-03-04,2025-03-12,Mac,South America,UI/UX,UI,M6,Low,8.0
74,Multiplayer,High,Resolved,2024-08-11,2024-08-16,Playstation,South America,UI/UX,Mods & Custom Content,M6,Medium,5.0
75,Pets,Medium,Resolved,2024-12-13,2024-12-22,Pc,South America,Expansion Pack,Audio,M1,Low,9.0
76,Bug Fixes,Medium,In Progress,2024-09-09,,Pc,Oceania,CAS,Graphics,M7,Medium,
77,Audio,Low,Resolved,2025-03-18,2025-04-08,Xbox,Oceania,Graphics,Gameplay,M4,Medium,21.0
78,Multiplayer,Low,Resolved,2024-10-02,2024-10-24,Xbox,Asia,Platform,Graphics,M4,Low,22.0
79,Aspirations,High,Won't Fix,2024-07-23,2024-07-27,Pc,Oceania,Graphics,Expansion Pack,M1,Low,4.0
80,Aging System,High,Resolved,2024-07-17,2024-08-11,Mac,Asia,Audio,Audio,M4,High,25.0
81,Tutorial,High,Won't Fix,2024-11-09,2024-11-10,Mac,Asia,LiveOps,Expansion Pack,M1,Low,1.0
82,Expansion Pack,Medium,New,2024-07-23,,Mac,South America,CAS,Audio,M4,High,
83,Occults,Low,New,2024-11-17,,Mac,Africa,Audio,Gameplay,M3,Medium,
84,Seasons,Low,New,2025-03-12,,Pc,Asia,CAS,Mods & Custom Content,M7,Low,
85,Occults,Low,Resolved,2024-09-11,2024-09-23,Playstation,Europe,Build Mode,Expansion Pack,M2,High,12.0
86,Aspirations,Low,Resolved,2024-07-07,2024-07-18,Mac,South America,LiveOps,Performance,M5,High,11.0
87,Aging System,Low,Resolved,2025-04-18,2025-04-22,Xbox,North America,Audio,Expansion Pack,M7,Medium,4.0
88,Audio,Low,Resolved,2024-10-21,2024-11-06,Xbox,Oceania,UI/UX,Network,M7,Medium,16.0
89,Pets,High,Resolved,2024-05-21,2024-06-01,Pc,Africa,UI/UX,UI,M6,Medium,11.0
90,Social Interactions,Critical,Resolved,2024-05-05,2024-05-13,Pc,South America,Audio,Audio,M1,Low,8.0
91,Social Interactions,Low,Resolved,2024-05-28,2024-06-07,Xbox,Africa,Audio,Performance,M2,Low,10.0
92,UI,Medium,Investigating,2024-12-03,,Mac,Europe,Graphics,Audio,M4,Low,
93,World Map,Medium,Resolved,2025-02-01,2025-02-27,Mac,North America,Graphics,Network,M5,Low,26.0
94,Aging System,High,Investigating,2024-09-19,,Mac,South America,Graphics,Gameplay,M2,Medium,
95,World Map,Low,Won't Fix,2024-05-11,2024-05-21,Xbox,Asia,LiveOps,Graphics,M5,Medium,10.0
96,UI,Medium,In Progress,2024-09-04,,Playstation,Europe,Build Mode,Audio,M6,Medium,
97,Expansion Pack,Critical,Resolved,2025-04-17,2025-05-09,Pc,Asia,Graphics,Graphics,M5,Medium,22.0
98,Social Interactions,Low,Resolved,2024-10-28,2024-11-27,Mac,Africa,Expansion Pack,Audio,M7,Low,30.0
99,World Map,High,In Progress,2025-04-08,,Playstation,North America,Graphics,Gameplay,M2,Medium,
100,Aspirations,Critical,Resolved,2025-02-27,2025-03-21,Playstation,North America,Platform,Graphics,M3,Medium,22.0
101,Audio,Medium,Resolved,2024-04-22,2024-05-14,Playstation,North America,Build Mode,Mods & Custom Content,M1,Medium,22.0
102,Tutorial,Low,New,2025-01-06,,Pc,Oceania,Graphics,Audio,M6,Medium,
103,Pets,Low,Resolved,2024-12-23,2024-12-25,Mac,Africa,Audio,Expansion Pack,M4,Medium,2.0
104,Occults,Medium,Investigating,2024-10-31,,Mac,South America,UI/UX,Mods & Custom Content,M5,Medium,
105,Skills,Low,New,2024-07-24,,Xbox,Europe,Expansion Pack,Gameplay,M6,Medium,
106,Create-a-Sim,Low,Investigating,2024-12-08,,Mac,North America,Graphics,Gameplay,M6,Low,
107,Careers,Low,Resolved,2024-05-28,2024-05-29,Mac,Africa,Build Mode,Gameplay,M7,Medium,1.0
108,UI,Low,Resolved,2024-09-24,2024-10-01,Mac,Africa,LiveOps,Audio,M7,High,7.0
109,Multiplayer,Low,Investigating,2024-10-01,,Pc,Europe,LiveOps,Network,M7,Medium,
110,Create-a-Sim,Low,Resolved,2025-04-02,2025-04-03,Xbox,Africa,UI/UX,Gameplay,M4,Medium,1.0
111,Seasons,Low,Resolved,2025-03-04,2025-03-23,Pc,Oceania,CAS,Mods & Custom Content,M6,High,19.0
112,Social Interactions,Medium,Resolved,2024-07-23,2024-08-08,Xbox,Oceania,Graphics,Gameplay,M1,Medium,16.0
113,Bug Fixes,Medium,Resolved,2024-10-18,2024-10-23,Playstation,South America,CAS,Mods & Custom Content,M5,Medium,5.0
114,Occults,High,Resolved,2024-06-22,2024-07-15,Mac,South America,Graphics,UI,M4,Medium,23.0
115,Careers,Medium,Resolved,2025-03-18,2025-04-01,Playstation,Asia,Audio,Mods & Custom Content,M1,Low,14.0
116,Skills,High,Resolved,2025-03-02,2025-03-16,Pc,Africa,Expansion Pack,Gameplay,M4,Medium,14.0
117,Create-a-Sim,Critical,Resolved,2024-08-05,2024-08-30,Playstation,Asia,UI/UX,UI,M2,Medium,25.0
118,Occults,Low,Resolved,2024-12-07,2024-12-11,Playstation,Africa,Build Mode,Expansion Pack,M7,Medium,4.0
119,Occults,Low,Resolved,2024-11-26,2024-12-16,Playstation,North America,Audio,Audio,M6,Medium,20.0
120,Multiplayer,High,New,2024-06-12,,Xbox,North America,Audio,Graphics,M1,Medium,
121,Multiplayer,Low,Resolved,2025-01-22,2025-02-05,Playstation,Africa,UI/UX,Graphics,M2,Low,14.0
122,Aging System,Medium,Resolved,2024-11-01,2024-11-23,Xbox,Africa,Graphics,Expansion Pack,M3,Low,22.0
123,World Map,Medium,Resolved,2025-01-27,2025-02-08,Xbox,Africa,CAS,Graphics,M2,Medium,12.0
124,Graphics,High,Resolved,2024-10-29,2024-10-30,Playstation,Asia,Expansion Pack,Gameplay,M1,Medium,1.0
125,UI,Medium,Resolved,2024-04-18,2024-04-23,Playstation,North America,Platform,Graphics,M4,Low,5.0
126,Bug Fixes,Medium,In Progress,2024-08-14,,Xbox,Oceania,Platform,Audio,M1,Medium,
127,Tutorial,Medium,New,2024-04-25,,Playstation,North America,Platform,Gameplay,M2,Medium,
128,World Map,High,Resolved,2025-03-24,2025-03-27,Mac,Asia,Audio,Gameplay,M5,Medium,3.0
129,Skills,Low,Won't Fix,2025-03-05,2025-03-12,Mac,Europe,UI/UX,Performance,M3,Low,7.0
130,Live Mode,Low,Resolved,2025-02-16,2025-03-13,Xbox,South America,Graphics,Network,M7,High,25.0
131,Aging System,Medium,Resolved,2024-08-08,2024-08-23,Playstation,Africa,LiveOps,Network,M5,Low,15.0
132,World Map,Low,Resolved,2024-05-09,2024-05-11,Pc,Africa,Platform,Mods & Custom Content,M5,Medium,2.0
133,Bug Fixes,Medium,Resolved,2025-03-05,2025-04-03,Playstation,Africa,Graphics,Performance,M1,Medium,29.0
134,Live Mode,Medium,In Progress,2025-03-30,,Mac,North America,Build Mode,Mods & Custom Content,M4,Medium,
135,World Map,Low,Resolved,2024-05-19,2024-05-31,Playstation,Oceania,LiveOps,Network,M1,Medium,12.0
136,Tutorial,High,Resolved,2024-10-12,2024-10-25,Playstation,North America,Audio,Network,M3,High,13.0
137,Live Mode,Low,Resolved,2024-05-13,2024-05-26,Xbox,Oceania,Expansion Pack,Performance,M6,Medium,13.0
138,Seasons,Low,In Progress,2025-01-21,,Xbox,Africa,Expansion Pack,Graphics,M3,Medium,
139,Pets,Low,New,2025-01-23,,Mac,Europe,UI/UX,Audio,M7,Medium,
140,Seasons,Low,Resolved,2024-06-03,2024-06-21,Playstation,Africa,Audio,Expansion Pack,M2,Low,18.0
141,Multiplayer,High,In Progress,2024-10-08,,Pc,South America,Expansion Pack,UI,M4,Medium,
142,Occults,Low,Resolved,2024-11-05,2024-12-01,Xbox,Europe,Expansion Pack,Mods & Custom Content,M4,Medium,26.0
143,Multiplayer,High,Resolved,2024-07-24,2024-08-10,Mac,Asia,LiveOps,Mods & Custom Content,M7,Medium,17.0
144,Seasons,High,In Progress,2025-03-03,,Playstation,North America,Audio,Audio,M4,High,
145,UI,High,Resolved,2024-09-19,2024-10-03,Playstation,North America,Platform,Graphics,M4,Medium,14.0
146,Build Mode,Low,Resolved,2024-07-04,2024-07-07,Pc,Oceania,Expansion Pack,Performance,M2,Low,3.0
147,Mods & Custom Content,High,Investigating,2024-11-01,,Xbox,South America,LiveOps,Gameplay,M1,Low,
148,Tutorial,Medium,Investigating,2025-01-10,,Pc,Asia,Build Mode,Audio,M1,Low,
149,Live Mode,Low,Resolved,2024-06-30,2024-07-26,Xbox,Africa,LiveOps,UI,M6,Low,26.0
150,Bug Fixes,Medium,Resolved,2024-08-10,2024-08-30,Pc,Africa,Expansion Pack,Gameplay,M5,Medium,20.0
151,Aspirations,High,Resolved,2025-04-17,2025-05-04,Pc,Oceania,Platform,Network,M3,Medium,17.0
152,Expansion Pack,High,Resolved,2024-12-11,2024-12-14,Playstation,Europe,LiveOps,Network,M5,Medium,3.0
153,Aging System,Critical,Resolved,2024-09-25,2024-10-22,Xbox,Oceania,Audio,Performance,M1,Medium,27.0
154,Graphics,Low,New,2024-10-24,,Mac,North America,Expansion Pack,Audio,M5,Medium,
155,Create-a-Sim,High,Investigating,2024-06-01,,Mac,Asia,Expansion Pack,Graphics,M7,Medium,
156,Aspirations,High,Resolved,2024-07-09,2024-08-04,Xbox,Asia,Audio,Mods & Custom Content,M6,Medium,26.0
157,Live Mode,High,Investigating,2024-08-19,,Pc,South America,Audio,Audio,M3,Low,
158,Tutorial,High,Resolved,2024-11-19,2024-11-29,Mac,Oceania,Graphics,Network,M4,Low,10.0
159,Social Interactions,Low,New,2024-07-11,,Pc,North America,Platform,Network,M5,High,
160,Tutorial,Medium,Resolved,2024-07-07,2024-07-08,Xbox,North America,Audio,Gameplay,M2,Medium,1.0
161,Create-a-Sim,Medium,Won't Fix,2024-05-13,2024-05-26,Xbox,Asia,Expansion Pack,Mods & Custom Content,M7,Low,13.0
162,Audio,Low,Resolved,2024-12-04,2024-12-16,Pc,North America,Audio,Mods & Custom Content,M5,Medium,12.0
163,Aging System,Low,Resolved,2024-07-10,2024-07-19,Playstation,Oceania,Graphics,UI,M1,Low,9.0
164,Aging System,Critical,Resolved,2025-03-15,2025-03-21,Playstation,Oceania,Expansion Pack,Gameplay,M5,Medium,6.0
165,Multiplayer,High,In Progress,2025-02-26,,Mac,North America,Build Mode,Performance,M2,Medium,
166,Aging System,High,Resolved,2024-05-13,2024-05-31,Mac,Africa,UI/UX,Gameplay,M3,Medium,18.0
167,Social Interactions,High,Resolved,2024-07-14,2024-07-30,Pc,Europe,Expansion Pack,Gameplay,M4,Medium,16.0
168,Occults,Medium,Resolved,2024-12-18,2024-12-23,Mac,Europe,Platform,Graphics,M7,Low,5.0
169,UI,Low,Resolved,2024-07-05,2024-07-11,Playstation,North America,CAS,UI,M6,High,6.0
170,Occults,Low,Resolved,2024-06-05,2024-06-26,Mac,Africa,Audio,Performance,M6,Medium,21.0
171,Bug Fixes,Low,New,2025-03-26,,Pc,North America,LiveOps,Audio,M6,Low,
172,Pets,High,Resolved,2024-11-13,2024-12-03,Playstation,Oceania,CAS,Mods & Custom Content,M2,High,20.0
173,Create-a-Sim,Low,Resolved,2024-10-07,2024-10-17,Xbox,South America,Graphics,UI,M3,Medium,10.0
174,Skills,Critical,Resolved,2025-01-30,2025-02-22,Mac,Asia,UI/UX,Network,M2,Medium,23.0
175,Create-a-Sim,Low,Resolved,2025-02-07,2025-02-15,Xbox,Africa,Platform,UI,M7,High,8.0
176,Careers,Low,In Progress,2024-06-26,,Mac,South America,Graphics,Mods & Custom Content,M3,Medium,
177,UI,Low,Resolved,2024-05-23,2024-06-05,Playstation,North America,LiveOps,Audio,M4,Medium,13.0
178,World Map,Medium,Investigating,2024-09-22,,Pc,South America,Audio,Audio,M6,Medium,
179,Bug Fixes,Medium,Resolved,2024-09-20,2024-09-22,Playstation,Africa,CAS,Gameplay,M4,Medium,2.0
180,Tutorial,Medium,Resolved,2024-10-05,2024-10-14,Pc,Europe,UI/UX,Expansion Pack,M3,Medium,9.0
181,Graphics,Medium,Resolved,2025-01-09,2025-01-21,Xbox,Africa,LiveOps,Graphics,M1,Low,12.0
182,Mods & Custom Content,Medium,Resolved,2024-12-20,2025-01-05,Mac,Asia,Expansion Pack,Performance,M4,High,16.0
183,Seasons,High,Resolved,2025-04-13,2025-04-23,Xbox,Oceania,CAS,Mods & Custom Content,M7,Low,10.0
184,Bug Fixes,Low,Won't Fix,2024-05-24,2024-05-28,Pc,Africa,Graphics,Audio,M6,Medium,4.0
185,Create-a-Sim,Medium,Resolved,2024-09-12,2024-10-01,Mac,Africa,Platform,Performance,M7,Medium,19.0
186,Build Mode,Medium,Resolved,2024-08-20,2024-09-12,Xbox,Europe,Platform,UI,M4,Medium,23.0
187,Create-a-Sim,High,Resolved,2025-02-27,2025-03-15,Mac,Africa,Expansion Pack,Mods & Custom Content,M5,Medium,16.0
188,Occults,Low,Investigating,2024-07-18,,Playstation,Oceania,CAS,Mods & Custom Content,M2,High,
189,World Map,High,Resolved,2024-06-26,2024-07-06,Mac,Oceania,Graphics,Network,M4,Medium,10.0
190,Audio,Low,In Progress,2024-09-29,,Xbox,South America,Expansion Pack,Performance,M3,Low,
191,Aging System,Medium,New,2024-09-19,,Xbox,Europe,Build Mode,Audio,M5,Medium,
192,UI,Low,Resolved,2024-07-28,2024-08-17,Mac,Oceania,Build Mode,Graphics,M1,Medium,20.0
193,Mods & Custom Content,Low,Resolved,2024-07-18,2024-07-22,Mac,South America,Graphics,Mods & Custom Content,M6,Low,4.0
194,Create-a-Sim,Critical,New,2025-03-21,,Pc,Oceania,Build Mode,Graphics,M2,Medium,
195,Create-a-Sim,Critical,In Progress,2024-09-27,,Xbox,South America,Audio,Audio,M1,Low,
196,Careers,Low,Won't Fix,2025-02-27,2025-03-03,Xbox,Europe,Graphics,Audio,M2,High,4.0
197,Audio,High,Resolved,2024-11-05,2024-11-29,Pc,Oceania,Expansion Pack,Audio,M5,Medium,24.0
198,Aspirations,High,Resolved,2024-05-06,2024-05-26,Playstation,North America,Platform,Gameplay,M2,High,20.0
199,Audio,Low,Resolved,2025-04-18,2025-05-18,Xbox,Asia,Expansion Pack,Audio,M5,Medium,30.0
200,UI,Low,Resolved,2025-02-17,2025-03-10,Pc,South America,CAS,Performance,M4,Medium,21.0
201,World Map,Medium,In Progress,2025-04-07,,Playstation,Asia,Build Mode,UI,M2,Medium,
202,Occults,Critical,Resolved,2025-03-23,2025-04-12,Mac,Europe,UI/UX,Mods & Custom Content,M5,Medium,20.0
203,Occults,Critical,Resolved,2025-02-22,2025-03-13,Mac,Africa,Audio,Performance,M3,High,19.0
204,Bug Fixes,Medium,Resolved,2024-06-17,2024-07-09,Xbox,North America,Graphics,Performance,M5,Medium,22.0
205,World Map,High,Resolved,2024-10-12,2024-10-30,Xbox,Asia,LiveOps,UI,M5,Low,18.0
206,Create-a-Sim,Critical,Resolved,2024-07-05,2024-07-28,Pc,South America,LiveOps,Audio,M4,Low,23.0
207,Social Interactions,Low,Won't Fix,2024-09-11,2024-10-02,Xbox,South America,Platform,Expansion Pack,M1,Medium,21.0
208,Skills,Low,Resolved,2024-05-09,2024-05-27,Xbox,Africa,Audio,UI,M7,Low,18.0
209,Occults,Medium,Resolved,2024-09-03,2024-09-13,Xbox,Europe,Build Mode,Mods & Custom Content,M3,Low,10.0
210,Expansion Pack,Low,Resolved,2025-04-13,2025-05-12,Xbox,Africa,LiveOps,UI,M2,Low,29.0
211,Create-a-Sim,Low,Resolved,2024-07-24,2024-08-08,Pc,South America,Graphics,UI,M5,Low,15.0
212,Seasons,Critical,New,2025-01-29,,Mac,Oceania,Expansion Pack,Network,M2,Medium,
213,Social Interactions,Low,Resolved,2024-10-01,2024-10-23,Pc,Africa,Audio,Expansion Pack,M5,Medium,22.0
214,Aspirations,High,In Progress,2024-09-19,,Playstation,Oceania,Platform,Expansion Pack,M2,Low,
215,UI,Low,Resolved,2025-04-03,2025-04-21,Mac,South America,LiveOps,Expansion Pack,M4,Medium,18.0
216,Careers,Medium,Resolved,2025-04-17,2025-04-25,Xbox,Asia,UI/UX,UI,M1,Low,8.0
217,Live Mode,Low,Resolved,2024-11-07,2024-11-27,Mac,South America,Build Mode,Network,M3,High,20.0
218,Expansion Pack,High,Resolved,2025-01-05,2025-02-04,Xbox,Europe,Build Mode,Expansion Pack,M2,Medium,30.0
219,Skills,Low,Resolved,2024-06-13,2024-06-26,Playstation,Africa,Graphics,Mods & Custom Content,M1,High,13.0
220,Graphics,Low,Resolved,2024-08-04,2024-08-29,Xbox,North America,Build Mode,Performance,M1,Low,25.0
221,Social Interactions,Low,Investigating,2025-04-07,,Mac,Asia,Build Mode,Expansion Pack,M5,High,
